,0
0,Jammu & Kashmir
1,Himachal Pradesh
2,Punjab
3,Haryana
4,Uttarakhand
5,Rajasthan
6,Gujrat
7,Uttar Pradesh
8,Madhya Pradesh
9,Maharashtra
10,Goa
11,Karnataka
12,Kerala
13,Tamil Nadu
14,Andhra Pradesh
15,Telangana
16,Odisha
17,Chhattishgarh
18,Jharkhand
19,Bihar
20,West Bengal
21,Sikkim
22,Arunachal Pradesh
23,Meghalaya
24,Tripura
25,Mizoram
26,Manipur
27,Nagaland
